Unnamed: 0,rank,disr,diss,dior,dios,diar,tots,rank.1,disr.1,diss.1,dior.1,dios.1,diar.1,tots.1,label
0,624.9,0.0,0.0,2.9,1.3,0.0,1.3,273.3282006364471,0.0,0.0,2.1740091511936384,0.7326950970650465,0.0,0.7326950970650465,0.0
1,614.8,0.0,0.0,1.9,0.9,0.0,0.9,264.66574749055997,0.0,0.0,1.4104870379448815,0.6407232755171874,0.0,0.6407232755171874,0.0
2,608.85,0.0,0.0,2.4,1.35,0.0,1.35,256.78749662133595,0.0,0.0,1.500876936643164,0.7451598203705947,0.0,0.7451598203705947,0.0
3,604.1,0.0,0.0,0.85,0.4,0.0,0.4,257.47149050147794,0.0,0.0,0.8750939799154207,0.5026246899500346,0.0,0.5026246899500346,0.0
4,603.55,0.0,0.0,0.25,0.4,0.0,0.4,254.58975772179463,0.0,0.0,0.5501196042201808,0.5026246899500346,0.0,0.5026246899500346,0.0
5,575.421052631579,0.0,0.0,1.1578947368421053,0.631578947368421,0.0,0.631578947368421,236.38652804945303,0.0,0.0,1.067872125861979,0.5972647203701474,0.0,0.5972647203701474,0.0
6,595.55,0.0,0.0,1.45,0.5,0.0,0.5,250.35185239977756,0.0,0.0,1.2343760409722455,0.6069769786668839,0.0,0.6069769786668839,0.0
7,591.85,0.0,0.0,0.75,0.35,0.0,0.35,247.12074078538168,0.0,0.0,1.019545822516343,0.4893604849295929,0.0,0.4893604849295929,0.0
8,590.05,0.0,0.0,0.2,0.15,0.0,0.15,244.11461393542604,0.0,0.0,0.4103913408340616,0.3663475485325231,0.0,0.3663475485325231,0.0
9,592.4,0.0,0.0,0.15,0.1,0.0,0.1,247.5948303175977,0.0,0.0,0.3663475485325231,0.3077935056255462,0.0,0.3077935056255462,0.0
10,593.3,0.0,0.0,0.35,0.25,0.0,0.25,249.0449335910458,0.0,0.0,0.5871429486123997,0.5501196042201808,0.0,0.5501196042201808,0.0
11,592.35,0.0,0.0,0.4,0.2,0.0,0.2,248.0690215921452,0.0,0.0,0.6805570473787207,0.4103913408340617,0.0,0.4103913408340617,0.0
12,591.9,0.0,0.0,0.7,0.5,0.0,0.5,247.56347405102096,0.0,0.0,0.7326950970650464,0.6882472016116853,0.0,0.6882472016116853,0.0
13,591.75,0.0,0.0,1.25,0.7,0.0,0.7,246.4283551268529,0.0,0.0,1.069923755276638,0.5712405705774793,0.0,0.5712405705774793,0.0
14,592.4,0.0,0.0,0.85,0.7,0.0,0.7,246.3951469105117,0.0,0.0,0.8750939799154207,0.6569466853317862,0.0,0.6569466853317862,0.0
15,593.2,0.0,0.0,1.2,0.7,0.0,0.7,246.42893712515092,0.0,0.0,1.105012502906165,0.8013147091860318,0.0,0.8013147091860318,0.0
16,594.95,0.0,0.0,0.35,0.3,0.0,0.3,248.7749934547704,0.0,0.0,0.5871429486123998,0.5712405705774793,0.0,0.5712405705774793,0.0
17,594.3,0.0,0.0,0.15,0.15,0.0,0.15,248.62635250088584,0.0,0.0,0.3663475485325231,0.3663475485325231,0.0,0.3663475485325231,0.0
18,593.6,0.0,0.0,0.0,0.05,0.0,0.05,247.7493215243777,0.0,0.0,0.0,0.2236067977499789,0.0,0.2236067977499789,0.0
19,594.45,0.0,0.0,0.05,0.05,0.0,0.05,246.9111229401765,0.0,0.0,0.2236067977499789,0.2236067977499789,0.0,0.2236067977499789,0.0
20,596.45,0.0,0.0,0.05,0.0,0.0,0.0,246.02855525324696,0.0,0.0,0.2236067977499789,0.0,0.0,0.0,0.0
21,595.3,0.0,0.0,0.05,0.05,0.0,0.05,245.67781640531612,0.0,0.0,0.2236067977499789,0.2236067977499789,0.0,0.2236067977499789,0.0
22,593.8,0.0,0.0,0.0,0.0,0.0,0.0,245.56328372904096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,592.95,0.0,0.0,0.05,0.05,0.0,0.05,246.08224448877164,0.0,0.0,0.2236067977499789,0.2236067977499788,0.0,0.2236067977499788,0.0
24,593.3,0.0,0.0,0.3,0.3,0.0,0.3,245.4195333880762,0.0,0.0,0.5712405705774793,0.5712405705774793,0.0,0.5712405705774793,0.0
25,596.3,0.0,0.0,0.3,0.15,0.0,0.15,245.32215125164876,0.0,0.0,0.5712405705774792,0.3663475485325232,0.0,0.3663475485325232,0.0
26,594.5,0.0,0.0,0.5,0.25,0.65,0.65,245.37028945528107,0.0,0.0,0.7608859102526822,0.4442616583193193,1.694418080515829,0.5871429486123998,0.0
27,593.2,0.0,0.0,0.5,0.4,1.3,0.85,246.04804836710892,0.0,0.0,0.8271701918685112,0.5026246899500346,2.3418391333129156,0.7451598203705947,0.0
28,576.952380952381,0.0,0.0,0.7142857142857143,0.8095238095238095,0.6190476190476191,0.9523809523809524,250.99252502623983,0.0,0.0,0.9023778112773576,0.6015852075182384,1.0235326314383182,0.8047478161629564,0.0
29,591.75,0.0,0.0,1.4,0.7,0.0,0.7,244.65676816823668,0.0,0.0,1.2732056517228263,0.6569466853317862,0.0,0.6569466853317862,0.0
30,592.0,0.0,0.0,0.75,0.5,0.0,0.5,243.78506495422732,0.0,0.0,0.8506963092234007,0.6069769786668839,0.0,0.6069769786668839,0.0
31,593.15,0.0,0.0,0.8,0.45,0.0,0.45,244.8486696974921,0.0,0.0,0.8335087534664907,0.7591546545162483,0.0,0.7591546545162483,0.0
32,610.0526315789474,0.0,0.0,0.2631578947368421,0.1052631578947368,0.0,0.1052631578947368,237.79484007209297,0.0,0.0,0.5619514869490164,0.3153017676423058,0.0,0.3153017676423058,0.0
33,614.4761904761905,0.0,0.0,0.1428571428571428,0.238095238095238,0.0,0.238095238095238,256.923066120506,0.0,0.0,0.4780914437337574,0.4364357804719847,0.0,0.4364357804719847,0.0
34,593.85,0.0,0.0,0.0,0.0,0.0,0.0,244.13246512153148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,593.95,0.0,0.0,0.05,0.05,0.0,0.05,243.55967063102776,0.0,0.0,0.2236067977499789,0.2236067977499789,0.0,0.2236067977499789,0.0
36,578.952380952381,0.0,0.0,0.0,0.0,0.0,0.0,246.4892444287329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,609.3157894736842,0.0,0.0,0.0,0.0,0.0,0.0,237.97760226812636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,577.4285714285714,0.0,0.0,0.0476190476190476,0.1428571428571428,0.0,0.1428571428571428,248.01725170410452,0.0,0.0,0.2182178902359924,0.3585685828003181,0.0,0.3585685828003181,0.0
39,610.7894736842105,0.0,0.0,0.2105263157894736,0.1578947368421052,0.0,0.1578947368421052,238.027677883469,0.0,0.0,0.5353033790313105,0.3746343246326775,0.0,0.3746343246326775,0.0
40,592.5,0.0,0.0,0.2,0.1,0.0,0.1,245.03522840174375,0.0,0.0,0.4103913408340616,0.3077935056255462,0.0,0.3077935056255462,0.0
41,576.0952380952381,0.0,0.0,0.238095238095238,0.2857142857142857,0.0,0.2857142857142857,249.6431262346121,0.0,0.0,0.4364357804719847,0.4629100498862757,0.0,0.4629100498862757,0.0
